statn_nm,direction,time_band,svc_type,plan_p50_sec,plan_n
염창,하행,퇴근,전체,235,41
올림픽공원,상행,밤,급행,660,24
올림픽공원,상행,밤,완행,660,30
올림픽공원,상행,밤,전체,310,55
올림픽공원,상행,새벽,급행,720,5
올림픽공원,상행,새벽,완행,765,7
올림픽공원,상행,새벽,전체,465,12
올림픽공원,상행,점심,급행,660,38
올림픽공원,상행,점심,완행,660,38
올림픽공원,상행,점심,전체,290,76
올림픽공원,상행,출근,급행,380,24
올림픽공원,상행,출근,완행,380,25
올림픽공원,상행,출근,전체,195,49
올림픽공원,상행,퇴근,급행,410,24
올림픽공원,상행,퇴근,완행,410,24
올림픽공원,상행,퇴근,전체,175,48
올림픽공원,하행,밤,급행,660,25
올림픽공원,하행,밤,완행,660,28
올림픽공원,하행,밤,전체,245,54
올림픽공원,하행,새벽,급행,780,5
올림픽공원,하행,새벽,완행,780,8
올림픽공원,하행,새벽,전체,360,13
올림픽공원,하행,점심,급행,660,38
올림픽공원,하행,점심,완행,660,39
올림픽공원,하행,점심,전체,210,77
올림픽공원,하행,출근,급행,380,24
올림픽공원,하행,출근,완행,380,24
올림픽공원,하행,출근,전체,200,48
올림픽공원,하행,퇴근,급행,410,23
올림픽공원,하행,퇴근,완행,410,25
올림픽공원,하행,퇴근,전체,195,48
종합운동장,상행,밤,급행,660,23
종합운동장,상행,밤,완행,660,28
종합운동장,상행,밤,전체,295,52
종합운동장,상행,새벽,급행,720,6
종합운동장,상행,새벽,완행,730,7
종합운동장,상행,새벽,전체,375,13
종합운동장,상행,점심,급행,660,38
종합운동장,상행,점심,완행,660,39
종합운동장,상행,점심,전체,295,77
종합운동장,상행,출근,급행,380,24
종합운동장,상행,출근,완행,380,25
종합운동장,상행,출근,전체,215,49
종합운동장,상행,퇴근,급행,410,24
종합운동장,상행,퇴근,완행,410,25
종합운동장,상행,퇴근,전체,210,49
종합운동장,하행,밤,급행,660,26
종합운동장,하행,밤,완행,660,30
종합운동장,하행,밤,전체,235,57
종합운동장,하행,새벽,급행,780,5
종합운동장,하행,새벽,완행,780,7
종합운동장,하행,새벽,전체,525,12
종합운동장,하행,점심,급행,660,38
종합운동장,하행,점심,완행,660,40
종합운동장,하행,점심,전체,245,78
종합운동장,하행,출근,급행,380,23
종합운동장,하행,출근,완행,380,24
종합운동장,하행,출근,전체,195,47
종합운동장,하행,퇴근,급행,410,23
종합운동장,하행,퇴근,완행,410,23
종합운동장,하행,퇴근,전체,215,46
중앙보훈병원,상행,밤,급행,660,25
중앙보훈병원,상행,밤,완행,660,30
중앙보훈병원,상행,밤,전체,252,56
중앙보훈병원,상행,새벽,급행,720,5
중앙보훈병원,상행,새벽,완행,790,6
중앙보훈병원,상행,새벽,전체,350,11
중앙보훈병원,상행,점심,급행,660,37
중앙보훈병원,상행,점심,완행,660,38
중앙보훈병원,상행,점심,전체,300,75
중앙보훈병원,상행,출근,급행,380,24
중앙보훈병원,상행,출근,완행,380,25
중앙보훈병원,상행,출근,전체,205,49
중앙보훈병원,상행,퇴근,급행,410,24
중앙보훈병원,상행,퇴근,완행,410,25
중앙보훈병원,상행,퇴근,전체,225,49
중앙보훈병원,하행,밤,급행,660,24
중앙보훈병원,하행,밤,완행,660,28
중앙보훈병원,하행,밤,전체,240,53
중앙보훈병원,하행,새벽,급행,780,6
중앙보훈병원,하행,새벽,완행,780,8
중앙보훈병원,하행,새벽,전체,420,14
중앙보훈병원,하행,점심,급행,660,38
중앙보훈병원,하행,점심,완행,660,39
중앙보훈병원,하행,점심,전체,240,77
중앙보훈병원,하행,출근,급행,380,23
중앙보훈병원,하행,출근,완행,380,25
중앙보훈병원,하행,출근,전체,240,48
중앙보훈병원,하행,퇴근,급행,410,24
중앙보훈병원,하행,퇴근,완행,410,24
중앙보훈병원,하행,퇴근,전체,240,48
증미,상행,밤,완행,660,25
증미,상행,밤,전체,660,25
증미,상행,새벽,완행,600,9
증미,상행,새벽,전체,600,9
증미,상행,점심,완행,660,40
증미,상행,점심,전체,660,40
증미,상행,출근,완행,380,24
증미,상행,출근,전체,380,24
증미,상행,퇴근,완행,410,25
증미,상행,퇴근,전체,410,25
증미,하행,밤,완행,485,34
증미,하행,밤,전체,485,34
증미,하행,새벽,완행,838,6
증미,하행,새벽,전체,838,6
증미,하행,점심,완행,660,44
증미,하행,점심,전체,660,44
증미,하행,출근,완행,518,20
증미,하행,출근,전체,518,20
증미,하행,퇴근,완행,480,21
증미,하행,퇴근,전체,480,21
한성백제,상행,밤,완행,660,29
한성백제,상행,밤,전체,660,29
한성백제,상행,새벽,완행,765,7
한성백제,상행,새벽,전체,765,7
한성백제,상행,점심,완행,660,38
한성백제,상행,점심,전체,660,38
한성백제,상행,출근,완행,380,25
한성백제,상행,출근,전체,380,25
한성백제,상행,퇴근,완행,410,25
한성백제,상행,퇴근,전체,410,25
한성백제,하행,밤,완행,660,29
한성백제,하행,밤,전체,660,29
한성백제,하행,새벽,완행,780,7
한성백제,하행,새벽,전체,780,7
한성백제,하행,점심,완행,660,39
한성백제,하행,점심,전체,660,39
한성백제,하행,출근,완행,380,25
한성백제,하행,출근,전체,380,25
한성백제,하행,퇴근,완행,410,24
한성백제,하행,퇴근,전체,410,24
흑석,상행,밤,완행,660,27
흑석,상행,밤,전체,660,27
흑석,상행,새벽,완행,712,8
흑석,상행,새벽,전체,712,8
흑석,상행,점심,완행,660,39
흑석,상행,점심,전체,660,39
흑석,상행,출근,완행,380,25
흑석,상행,출근,전체,380,25
흑석,상행,퇴근,완행,410,25
흑석,상행,퇴근,전체,410,25
흑석,하행,밤,완행,605,33
흑석,하행,밤,전체,605,33
흑석,하행,새벽,완행,780,7
흑석,하행,새벽,전체,780,7
흑석,하행,점심,완행,660,43
흑석,하행,점심,전체,660,43
흑석,하행,출근,완행,395,22
흑석,하행,출근,전체,395,22
흑석,하행,퇴근,완행,410,21
흑석,하행,퇴근,전체,410,21
