statn_nm,direction,time_band,svc_type,plan_p50_sec,plan_n
김포공항,상행,퇴근,급행,410,25
김포공항,상행,퇴근,완행,410,24
김포공항,상행,퇴근,전체,320,49
김포공항,하행,밤,급행,610,33
김포공항,하행,밤,완행,430,36
김포공항,하행,밤,전체,265,70
김포공항,하행,새벽,완행,832,6
김포공항,하행,새벽,전체,775,7
김포공항,하행,점심,급행,660,42
김포공항,하행,점심,완행,660,45
김포공항,하행,점심,전체,265,87
김포공항,하행,출근,급행,520,19
김포공항,하행,출근,완행,530,19
김포공항,하행,출근,전체,265,38
김포공항,하행,퇴근,급행,498,20
김포공항,하행,퇴근,완행,510,19
김포공항,하행,퇴근,전체,265,39
노들,상행,밤,완행,660,27
노들,상행,밤,전체,660,27
노들,상행,새벽,완행,720,8
노들,상행,새벽,전체,720,8
노들,상행,점심,완행,660,39
노들,상행,점심,전체,660,39
노들,상행,출근,완행,380,25
노들,상행,출근,전체,380,25
노들,상행,퇴근,완행,410,25
노들,상행,퇴근,전체,410,25
노들,하행,밤,완행,605,33
노들,하행,밤,전체,605,33
노들,하행,새벽,완행,780,7
노들,하행,새벽,전체,780,7
노들,하행,점심,완행,660,42
노들,하행,점심,전체,660,42
노들,하행,출근,완행,395,22
노들,하행,출근,전체,395,22
노들,하행,퇴근,완행,445,22
노들,하행,퇴근,전체,445,22
노량진,상행,밤,급행,660,22
노량진,상행,밤,완행,660,27
노량진,상행,밤,전체,405,50
노량진,상행,새벽,급행,720,7
노량진,상행,새벽,완행,720,8
노량진,상행,새벽,전체,305,15
노량진,상행,점심,급행,660,37
노량진,상행,점심,완행,660,39
노량진,상행,점심,전체,230,76
노량진,상행,출근,급행,380,26
노량진,상행,출근,완행,380,25
노량진,상행,출근,전체,230,51
노량진,상행,퇴근,급행,410,25
노량진,상행,퇴근,완행,410,25
노량진,상행,퇴근,전체,208,50
노량진,하행,밤,급행,660,29
노량진,하행,밤,완행,605,33
노량진,하행,밤,전체,195,63
노량진,하행,새벽,급행,780,3
노량진,하행,새벽,완행,780,7
노량진,하행,새벽,전체,440,10
노량진,하행,점심,급행,660,40
노량진,하행,점심,완행,660,42
노량진,하행,점심,전체,240,82
노량진,하행,출근,급행,445,21
노량진,하행,출근,완행,395,22
노량진,하행,출근,전체,275,43
노량진,하행,퇴근,급행,472,22
노량진,하행,퇴근,완행,445,22
노량진,하행,퇴근,전체,255,44
당산,상행,밤,급행,660,21
당산,상행,밤,완행,660,27
당산,상행,밤,전체,340,49
당산,상행,새벽,급행,720,8
당산,상행,새벽,완행,672,8
당산,상행,새벽,전체,345,16
당산,상행,점심,급행,660,38
당산,상행,점심,완행,660,39
당산,상행,점심,전체,330,77
당산,상행,출근,급행,380,25
당산,상행,출근,완행,380,25
당산,상행,출근,전체,245,50
당산,상행,퇴근,급행,410,25
당산,상행,퇴근,완행,410,25
당산,상행,퇴근,전체,240,50
당산,하행,밤,급행,652,30
